feature1,feature2,class
-9.054673571758329,-6.134774131203068,2
-8.943767964444826,-6.936641144257998,2
-5.845345526367536,0.7190989893136779,1
-2.435859931854409,5.488274138821614,0
-7.829105234783887,-2.999600794719887,3
-0.8687001506282673,2.4535638601036527,0
-4.52696290867925,-2.7088207762942957,3
-5.152618436937292,-0.913752080997996,3
-7.532163580631362,-3.8892571032051872,1
-3.949981718639476,-0.5140311857236441,3
-4.761131439944034,-9.823260755888885,2
-3.6602637542602285,-0.3368152809427425,2
-5.736738991508558,-1.7383972607419402,3
-1.8664737550090424,3.3530597673375153,0
-7.556247664230448,-3.180800694385923,3
-4.5640136671158125,-1.3205050396411355,2
-7.536304372224168,-3.250554147156346,1
-1.1972419788914905,-4.767853280095494,0
-5.069235000894659,-3.228063488038874,0
-3.9662172612814723,-3.815963043785362,0
-10.572701022196398,-3.53314795676927,1
-11.223975637222672,-2.999914659841906,1
-6.025400457818559,-6.305733840539816,3
-2.4391915232296526,20.52548490112258,0
22.5992161595007,-5.7910280272561785,3
-6.652272406747327,-4.702797483461095,0
-1.4216002417963958,4.549300243812112,0
-0.7708921646329898,3.26204914667364,0
-10.49167949947928,-2.4191148479531384,1
-6.385714554696485,-3.3742357776872436,3
-3.968154101533056,-0.9824956236000677,2
-7.328967043452813,-15.534910060222089,0
-5.7636915606432035,-3.029888982569088,3
-3.2297653807952984,0.007502262846592167,2
-5.065235999325888,-2.6179835657898756,3
-5.851433707127849,-9.925103297248262,2
-10.099122136538657,-4.310182806691409,1
-12.245505676815464,-2.848610405697257,1
-5.032311247712041,-7.916984369523695,2
-7.343226236038085,-3.7592297770128997,1
-6.705864687299469,-2.4823271758355436,3
-9.455773362986811,-2.6283393557993486,1
-1.7059945170677808,2.467563043199208,3
-5.4676520747008075,-0.17413309571146973,3
-5.9861891098697475,-4.288097260768859,3
-6.233792966610512,-8.72763493232284,2
-6.060085426355848,1.0904148423116715,1
-5.89317861674358,-4.1571113216689435,3
-1.380566434934034,5.225551557080544,0
-0.4129703837172227,7.030865445212271,0
-0.061811370843409374,4.0617204326719385,0
-10.748122905412288,-4.6659602280686165,1
-8.95254874061441,-4.563497108493685,1
-5.034654808529497,-3.264313388672669,3
-7.226633938812607,-6.8941661557209635,2
-4.26340990203642,1.7005988222991526,1
-10.410393354705572,-5.153551575210224,3
16.339103504138357,1.209810066719605,3
-9.188437177868058,-4.820218833860186,1
-7.529436869298856,-2.6624440507315694,3
-2.314488907527601,4.167884433376486,0
-0.3016046410068072,6.2302700485498,0
-8.649617909226778,-3.5870280990703916,1
-3.540991852601194,0.9856882319837794,3
-1.316855115643409,5.468659265968035,0
-6.666069339358746,-3.1258791602640077,3
24.18906352059758,7.035822725837519,1
-6.21441526907002,-2.3083976020362296,3
-8.014998336013571,-3.4668456715444136,1
-4.45809252070557,0.5807451056988642,1
-4.641575058166304,-2.7034706063235614,2
-11.144222818501529,-3.250256030040066,1
-7.3978191543147105,-2.8099509307588617,3
-4.175116790679615,-2.2037095172446213,2
-5.164194314803719,-3.6371708882512896,3
-3.3239401457413966,1.323790729854779,3
-8.556953691939627,-6.539834877689426,2
-3.715773549592611,-0.41126935647021234,3
-8.21923820505681,-3.1892150010810285,3
-3.9851012335707807,1.1146877346970925,1
0.029488094340954785,4.561411764496032,0
-1.9810256014997387,5.042916428928985,0
-7.798610501051726,-6.62862921768955,1
-0.6864178985842527,5.659820382491872,0
-3.2439490380347102,0.46044549696811954,0
-10.22160729586686,-4.021537924426221,1
-5.072671027703139,-1.5767288877864143,1
-2.9734541208377694,4.6097487885135635,0
-12.060985873196529,-3.884803352064694,1
-8.621432051973722,-4.012991642353616,1
-3.860233135551506,-2.4655994541407305,0
-8.381467415964174,-7.146866407949992,2
-9.027099271334283,-1.8056429275156791,1
-7.226884350882896,-5.677700851335249,3
-9.104671978601978,0.8393693495886474,3
-7.280416937239369,-7.551157973409847,2
-8.352439318111713,-7.559037771183665,2
-6.826456989692264,-1.0422052378325137,3
-9.343456654840892,-9.49376093555098,2
1.374430942219158,4.108128135584609,0
-0.32230033381276924,3.7026611422572504,0
-5.308693979486202,-3.047454032391749,2
-3.668594875091238,5.396525658169945,0
-11.72676373280331,-2.4746448623690815,1
-4.858786822260164,-0.07475306391861292,0
-6.957774156660947,-4.362941572712062,3
-5.796477706652857,-3.319189895096298,3
-1.129922573666221,4.286303588902962,0
-2.0721843166338103,4.458806097044258,0
-10.12970229184943,-3.943089812839975,1
-7.18159109056894,-0.8670599856508332,3
-6.935245202882924,-8.117926961859126,2
-2.4643546494953563,4.859566412428265,0
-22.2504350909103,27.24306163552334,0
-2.4650552629527023,4.39129235014048,0
-10.936006522877262,-4.478359326757502,1
-2.1099018460566565,3.640013379898095,0
-7.345971780662043,-3.2822234425885295,0
-0.267153621955996,4.8498811284940295,0
-5.665214568508127,-3.4776242539630524,3
-10.839325815161713,-4.59801617601361,1
-7.331779017893629,-6.389035692033157,2
-8.401005507225326,-8.23412013456027,2
-8.973775037306355,-4.448983719016443,1
-7.215064556525551,-6.436613823514365,3
-9.656014770634233,-3.638387612807282,1
0.29362099783016804,4.812103904732532,2
-7.111896091109135,-8.4277331100883,2
-7.616813580666563,-7.380003705387658,2
-6.318976960267015,-2.953943272588382,3
-0.31385865606572283,4.897170514367355,0
-5.271260932183441,0.9357179670437721,1
-9.437740582978492,-2.7129243058358035,2
-10.918484295251183,-3.1438636990160003,1
-9.456364977171583,-4.787253628785492,1
-7.459744042867036,-6.536701547019447,2
-3.2579019057692173,2.2936635963646217,0
-5.555739889895472,-4.853069965964621,0
-3.889138143284622,5.889886705386546,0
-0.8663355608300881,6.557079719613842,0
-28.6689154781819,-0.11008880124642317,1
-9.210377653097398,-7.719011325616563,2
-4.316765956089625,-2.055715969916929,3
-1.2993555220015265,3.983790053050939,0
-0.2990365751459947,3.0866203480663246,0
-1.0557381298261284,5.958360927881875,0
-6.455400963227124,-1.9901863374639575,3
-5.587240501298475,-2.539248967567355,3
-3.433609167696517,-0.48233608588897425,2
-8.361735014592346,-7.282659299246202,2
-8.988678633883778,-4.0768132084514495,1
-8.99450684033198,-2.101317614397824,1
-1.4304613243475603,6.926796032617772,0
-6.683097144043312,-8.17630606554121,0
-3.5433433060169004,0.6097366265871336,0
-7.492025299570232,-3.2773095917562,1
-9.21221632054906,-4.0147746844924015,1
-9.471912886903617,-2.606554561374694,1
-10.19955111134676,-4.162364960532793,1
-9.810195883329001,-4.181613777465039,1
-10.332629769505049,-2.0059296442184036,1
-10.124126158662152,-3.1971137425413114,1
-9.883202399023592,-2.847608464971791,1
-9.665913337866481,-4.83327447203758,1
-1.8897625687824575,3.3413351119413583,0
-6.6188778342035,-5.92961672254079,2
-6.427485631510269,-8.148427094253595,2
-8.74345756605751,-8.055106722057305,2
-5.645095181690394,-3.661334506902243,3
-1.0733381301035232,4.315803813217895,0
-8.818566509324267,-8.772845594999271,2
-9.087145711535584,-2.8914579700053444,1
-4.051133253012065,0.657010412845187,3
-3.781756925116201,0.5386177447901153,2
-1.6071571141344527,4.134912777826836,0
-8.785559890851433,-2.849327027465889,1
-12.329700590455126,-3.530355310120005,2
-10.528387639068908,-3.5651157230414863,1
-11.70957900827774,-1.831796609389973,1
-9.398938533992185,-9.251737346502093,2
-3.0622756015113795,1.8718269677487438,3
-9.558114086205032,-5.2068558056525545,1
-3.272100015951652,-0.7976959304625302,0
-10.302916273656995,-9.609233855618491,2
-6.122609880096113,-8.9510694249847,2
-8.137035233305737,-7.40547212037192,1
-5.673080264574586,-3.663122347772466,3
-6.617933961844008,-8.331415868295318,2
-7.520303202298394,-9.37099253365445,2
-7.282782469981279,-5.846632515784467,3
-0.13105278975798762,6.767011967948843,0
-2.073544558134495,4.1294821770805985,0
18.98314411278374,28.078425926389386,1
-5.70094590064439,-1.5199531033558316,2
-6.453796742017173,-5.5980613650777205,3
-2.4895528080188902,3.9303856366159886,0
-5.847935058555362,-2.0692812450252585,3
-5.333429869462168,-8.800845979267036,2
-7.637979209245803,-8.122028111601255,2
-2.564837435144503,5.909931655123107,0
