feature_1,feature_2,class
0.32297376965485813,1.088979700077411,0
-0.1076817024931028,0.8049842874896093,1
0.6152815607152213,-0.5085662705232038,1
1.026755099472862,-0.20293566921561823,0
0.8316889327681054,-0.8336774297690619,0
0.21223803117951837,-0.2609777964268246,1
-0.8461643426403127,0.4119631788113794,1
-0.6312117860872308,0.18366625983022167,1
-0.08532014336992338,-0.14288827530708845,1
0.34630070432441384,0.6558534930351643,0
-0.5772055656889111,0.2473107011292542,1
-0.10561921313851183,0.3679963182822312,0
-0.35140367422577967,0.8288194798182901,0
-0.24631805048957917,-0.7450056602804358,0
-0.13109651830780025,0.8680001902171204,1
0.09078316419226524,-0.6499375154105016,1
-0.5487450900080904,0.00836229114258609,1
0.9687407008551345,-0.8938371033338646,0
-0.31658592477233677,-0.25532232076797956,0
-0.14067499361614846,-0.13020041277849737,1
-0.7880607362612093,-0.9195614703285491,1
0.15041357355108192,1.0206818007087193,1
-0.7876353813840505,-0.9845467894527371,0
0.6552061430631695,-0.3208388674699168,1
-0.24596142753368028,-0.8862639047030186,1
-0.22522605162948267,0.672134829750957,0
0.405308647326355,0.08724818363700511,0
-0.5778956485401288,0.8083273034151879,0
-0.938602273557796,0.7096223551316089,0
0.30738093065531463,-0.7620260097315724,0
-0.45947526243594233,-0.061241023202156394,0
0.3637263452290341,-0.7829879869356635,1
-0.5682612822556274,0.548084842427727,0
0.04322626936781354,-0.8605280734390794,1
-0.5759050038112025,0.43085148090631986,1
-0.660732559838189,-0.8997965888687937,1
0.12498648475902246,0.2153261345473512,1
-0.42308577225871463,0.14348562081567565,1
-0.22089425459716966,0.33688841592322183,1
-0.198331017612427,0.005802206742465249,0
0.6383132763241494,0.45099627219524036,0
-0.9556215450997454,-0.42705347446614955,1
0.64197506217893,-0.5925384339756048,1
-0.804929531683193,-0.13827072236796684,0
0.5210389111364236,-0.7326073121161228,0
-0.23774445555949655,-0.779829372370864,1
0.42803138302500787,-0.1926955671979898,0
0.9283403539552051,-0.28885211993784476,1
-0.7211774191391537,0.7161660821410066,1
-0.9497316716187875,0.9611155940298822,0
0.06357563839404445,-0.4975139841269105,0
-0.12254006768033432,-0.22437963367138747,0
-0.07515507131631259,-0.8982781418222464,0
-0.9255914283977659,0.40435558833058943,1
0.34129582923249213,-0.30112191993081266,0
0.9950465492106727,-0.5815041628701964,0
0.36648386692944057,-0.9297401645278631,1
-0.17062614784822017,0.6844030790014268,1
-0.5848110391848654,-0.04618215619445942,1
0.055470143904636476,0.473399364824821,0
0.06388002481461327,0.7115138235898804,1
-0.9817723624381492,-0.636103805143832,1
0.2120940911709834,-0.4931749739119064,0
-0.38426659108989086,0.6079840913146124,1
0.785654006268936,0.3912542346722584,0
-0.6788318798885129,-0.5645738218855574,0
-0.7725481195335575,0.5834311784614497,1
-0.4261059731843298,-0.5164436886658745,1
0.3152380649746941,-0.5898574842881794,0
0.6135802566500957,-0.9531303209625891,0
0.4323795343555361,0.8142647015073738,0
0.4885591442000868,-0.5347891878736868,1
-0.612510493789397,-0.9248398705228214,1
0.606967240465596,-0.014159323776236243,0
0.453594553429525,-0.9630746526715078,1
0.2565216685655531,-0.8762674362286981,0
0.281087604782944,0.6132706948846643,0
-0.3433211090168221,-0.031274586086228795,0
-0.07931630987333005,0.561207548714339,0
-0.26026472614353896,0.14773604121599512,0
0.34010133095694295,0.32728558384744155,0
0.691087380077918,0.990741002725834,0
0.9064995486943358,-0.6884629092106156,1
0.023346698010969787,0.9250419098616806,0
0.2578204850058978,-0.8976431137496985,0
0.34678671092663577,0.9947549643651185,1
0.4416792586590276,-0.5987322541244835,1
-0.35742114142346926,0.7952581276406192,0
0.048440144238739546,0.8724317467419287,0
0.130535084773705,-0.2115956256729663,1
0.8542121450895817,0.6714103488218767,1
-0.8616018786394457,0.8828481735293122,1
-0.3736608207095088,-0.1820009874705353,1
-1.0354935164739756,-0.4463318122990395,0
-0.2919818768150995,0.47426066658451166,0
-0.13773328058376352,0.044320591323471645,1
-0.15673224502833136,-0.025768089279751785,1
-0.29934667706948326,-0.32471431074198204,1
-0.2255210724783941,0.6516386926156127,0
-0.6107616888015892,-0.5402535180531264,0
-0.046548805447312,0.8121066095236048,1
0.937163017323155,0.5467855681000877,1
-0.44929122573912095,0.2560497342896159,1
0.0736136587849498,0.5448873165811747,0
-0.17234865741044886,0.8625882899862173,1
-0.46088820558952276,-0.8081028665745913,0
0.6189685386615805,0.6439618071013831,1
-0.3775077804399697,0.09719397030693375,1
0.7102927884078385,-0.0499762598998546,1
0.3350418836715769,0.8517665244884548,1
0.42205208065167354,-0.8402841740715252,0
0.30247551344338014,0.26630989994405874,0
0.545270104287847,0.7876045429276908,0
-0.3787898445204999,-0.30782478932178636,1
-0.42980334663151887,-0.5486007181533402,1
0.7774067383727348,0.5728924869916396,1
0.900350923264018,0.3700659240724211,1
-0.7778424075109908,-0.8484378433936387,1
0.7498200113765131,-0.9922393451868258,1
-0.6927622596133224,0.10323879702356333,0
0.18653192278065167,-0.8226116362443799,0
-0.01186729074828298,0.8569859140007056,0
0.49355364441847993,-0.3480168152083799,0
0.4790114498640792,-0.6577624918403565,0
0.24629225476601904,0.7451017005177196,0
0.601176420634732,-0.622168486267795,0
0.5298534571710987,-0.7267816437062062,0
-0.7800460113481963,0.7520515865187791,1
0.1285679797201528,-0.4428137139271347,1
0.007100394118686314,0.25452052272843423,0
-1.0741145780877068,0.12039998477876244,0
0.7628100075326449,0.6608947176241471,1
-1.0163342371164827,-0.124975132666434,0
-0.5322900375795876,-0.5397954036480992,0
0.731942323960567,0.7337039801326801,1
0.21869326596640065,-0.5950744605200863,0
-0.7362192326432121,-0.8495118261304333,1
-0.7373059896946468,-0.04218923466473662,0
0.5517415072765455,-0.6821498383977811,0
0.8517587228068678,-0.5837625484344955,1
0.3025659293740217,0.3824233295649601,1
-0.1898453727861868,0.8542600940598046,0
-0.26825170219254646,0.06603170597301616,1
-1.0255228893029538,1.001885117472173,0
-0.45874354160668646,-0.4870927959984201,0
-0.8635995890495752,-0.6737308463026097,1
-0.49628052593015787,0.6127120837932848,0
0.048371411664318346,0.8135676474172842,1
0.2623118252059075,-0.04732368649811784,1
1.0081791643316915,0.054767344205206445,0
0.970770210027037,-0.9113856374317116,0
0.805469051947049,-0.3915020854663662,0
-0.24359575956942392,0.09486935035970706,0
0.004875843514956936,0.6911582797366551,1
0.7881581321656873,-0.4683148120249586,0
0.345249583498431,0.0964618989014357,0
-0.26297073070146604,0.6499984639625397,0
0.384716822750495,-0.3815632458237942,0
-0.7757590771820438,0.8790270181475749,1
-0.5472866257259348,-1.0446375791003442,0
0.5113734652114944,-0.2783028387082408,0
0.7353014905957819,0.10304695062023647,1
0.4425247709906764,0.3086650015310121,0
-0.5537893231007404,-0.13538995634120543,0
0.1718885556253537,-0.21851655238211315,1
0.5397399413492443,-0.3125651271762443,1
-0.6660060362285075,0.7415852519742179,0
-0.7655033514842158,0.5016893412119183,0
0.6469601407147045,0.7194564454128528,0
0.25648679431782795,-0.26579226293531705,1
0.4782513914877489,0.18352250599477488,1
-1.084992986244936,-0.7315947847421957,1
0.480653102210821,0.6614414854825823,0
0.839124945144319,-0.4066276915259683,0
-0.21852282982470048,-0.5543770253320809,0
0.1937236046733135,0.6300594398318281,0
0.6202786420765504,-0.5804515859847994,1
